Longitude,Latitude,continent
-69.98267711,12.52088038,North America
66.00473366,33.83523073,Asia
17.53736768,-12.29336054,Africa
-63.06498927,18.2239595,North America
20.04983396,41.14244989,Europe
19.95328768,60.21488688,Europe
1.56054378,42.54229102,Europe
54.3001671,23.90528188,Asia
-65.17980692,-35.3813488,South America
44.92993276,40.28952569,Asia
-170.7180258,-14.30445997,Oceania
19.92108951,-80.50857913,Antarctica
123.5838379,-12.42993164,Oceania
-61.79469343,17.2774996,North America
134.4910001,-25.73288704,Oceania
14.1264761,47.58549439,Europe
47.54599879,40.28827235,Asia
29.87512156,-3.35939666,Africa
4.64065114,50.63981576,Europe
2.32785254,9.6417597,Africa
-1.75456601,12.26953846,Africa
90.23812743,23.86731158,Asia
25.21552909,42.76890318,Europe
50.54196932,26.04205135,Asia
-98.30777028,61.36206324,North America
-76.62843038,24.29036702,North America
17.76876733,44.17450125,Europe
-62.84067779,17.89880451,North America
28.03209307,53.53131377,Europe
-88.71010486,17.20027509,North America
-64.7545589,32.31367802,North America
-64.68538645,-16.70814787,South America
-53.09783113,-10.78777702,South America
-59.559797,13.18145428,North America
114.7220304,4.51968958,Asia
90.40188155,27.41106589,Asia
23.79853368,-22.18403213,Africa
20.46826831,6.56823297,Africa
8.20867471,46.79785878,Europe
-71.38256213,-37.73070989,South America
103.8190735,36.56176546,Asia
-5.5692157,7.6284262,Africa
12.73964156,5.69109849,Africa
23.64396107,-2.87746289,Africa
15.21965762,-0.83787463,Africa
-159.7872422,-21.21927288,Oceania
-73.08114582,3.91383431,South America
43.68253968,-11.87783444,Africa
-23.9598882,15.95523324,Africa
-84.19208768,9.97634464,North America
-79.01605384,21.62289528,North America
-68.97119369,12.19551675,North America
-80.91213321,19.42896497,North America
33.5684813,35.26277486,Asia
33.0060022,34.91667211,Asia
15.31240163,49.73341233,Europe
10.38578051,51.10698181,Europe
42.5606754,11.74871806,Africa
-61.357726,15.4394702,North America
10.02800992,55.98125296,Europe
-70.50568896,18.89433082,North America
2.61732301,28.15893849,Africa
-78.75201922,-1.42381612,South America
29.86190099,26.49593311,Africa
38.84617011,15.36186618,Africa
-3.64755047,40.24448698,Europe
25.54248537,58.67192972,Europe
39.60080098,8.62278679,Africa
26.2746656,64.49884603,Europe
165.4519543,-17.42858032,Oceania
-59.35238956,-51.74483954,South America
-2.76172945,42.17344011,Europe
-6.88095423,62.05385403,Europe
153.2394379,7.45246814,Oceania
11.7886287,-0.58660025,Africa
-2.86563164,54.12387156,Europe
43.50780252,42.16855755,Asia
-2.57239064,49.46809761,Europe
-1.21676566,7.95345644,Africa
-10.94066612,10.43621593,Africa
-15.39601295,13.44965244,Africa
-14.94972445,12.04744948,Africa
10.34137924,1.70555135,Africa
22.95555794,39.07469623,Europe
-61.68220189,12.11725044,North America
-41.34191127,74.71051289,North America
-90.36482009,15.69403664,North America
144.7679102,13.44165626,Oceania
-58.98202459,4.79378034,South America
114.1138045,22.39827737,Asia
-86.6151661,14.82688165,North America
16.40412899,45.08047631,Europe
-72.68527509,18.93502563,North America
19.39559116,47.16277506,Europe
117.2401137,-2.21505456,Asia
-4.53873952,54.22418911,Europe
79.6119761,22.88578212,Asia
104.851898,-10.6478515,Asia
-8.13793569,53.1754487,Europe
54.27407004,32.57503292,Asia
43.74353149,33.03970582,Asia
-18.57396167,64.99575386,Europe
35.00444693,31.46110101,Asia
12.07001339,42.79662641,Europe
-77.31482593,18.15694878,North America
-2.12689938,49.21837377,Europe
36.77136104,31.24579091,Asia
138.0308956,37.59230135,Asia
77.18011865,35.39236325,Asia
67.29149357,48.15688067,Asia
37.79593973,0.59988022,Africa
74.54165513,41.46221943,Asia
104.9069433,12.72004786,Asia
-45.61110513,0.86001503,Oceania
-62.68755265,17.2645995,North America
127.8391609,36.38523983,Asia
20.87249811,42.57078707,Europe
47.58700459,29.33431262,Asia
103.7377241,18.50217433,Asia
35.88016072,33.92306631,Asia
-9.32207573,6.45278492,Africa
18.00866169,27.03094495,Africa
-60.96969923,13.89479481,North America
9.53574312,47.13665835,Europe
80.70108238,7.61266509,Asia
28.22723131,-29.58003188,Africa
23.88719355,55.32610984,Europe
6.07182201,49.76725361,Europe
24.91235983,56.85085163,Europe
113.5093212,22.22311688,Asia
-63.05972851,18.08888611,North America
-8.45615795,29.83762955,Africa
7.40627677,43.75274627,Europe
28.45673372,47.19498804,Europe
46.70473674,-19.37189587,Africa
-102.5234517,23.94753724,North America
170.3397612,7.00376358,Oceania
21.68211346,41.59530893,Europe
-3.54269065,17.34581581,Africa
14.40523316,35.92149632,Europe
96.48843321,21.18566599,Asia
19.23883939,42.78890259,Europe
103.0529977,46.82681544,Asia
145.6196965,15.82927563,Oceania
35.53367543,-17.27381643,Africa
-10.34779815,20.25736706,Africa
-62.18518546,16.73941406,North America
34.28935599,-13.21808088,Africa
109.6976228,3.78986846,Asia
17.20963567,-22.13032568,Africa
165.6849237,-21.29991806,Oceania
9.38545882,17.41912493,Africa
167.9492168,-29.0514609,Oceania
8.08943895,9.59411452,Africa
-85.0305297,12.84709429,North America
-169.8699468,-19.04945708,Oceania
5.28144793,52.1007899,Europe
15.34834656,68.75015572,Europe
83.9158264,28.24891365,Asia
166.9325682,-0.51912639,Oceania
171.4849235,-41.81113557,Oceania
56.09166155,20.60515333,Asia
69.33957937,29.9497515,Asia
-80.11915156,8.51750797,North America
-128.317042,-24.36500535,Oceania
-74.38242685,-9.15280381,South America
122.8839325,11.77536778,Asia
134.4080797,7.28742784,Oceania
145.2074475,-6.46416646,Oceania
19.39012835,52.12759564,Europe
-66.47307604,18.22813055,North America
127.1924797,40.15350311,Asia
-8.50104361,39.59550671,Europe
-58.40013703,-23.22823913,South America
35.19628705,31.91613893,Asia
-144.9049439,-14.72227409,Oceania
51.18479632,25.30601188,Asia
24.97293039,45.85243127,Europe
96.68656112,61.98052209,Europe
29.91988515,-1.99033832,Africa
-12.21982755,24.22956739,Africa
44.53686271,24.12245841,Asia
29.94046812,15.99035669,Africa
30.24790002,7.30877945,Africa
-14.4734924,14.36624173,Africa
103.8172559,1.35876087,Asia
159.6328767,-8.92178022,Oceania
-11.79271247,8.56329593,Africa
-88.87164469,13.73943744,North America
12.45922334,43.94186747,Europe
46.25198395,9.73345496,Africa
45.70714487,4.75062876,Africa
-56.30319779,46.91918789,North America
20.78958334,44.2215032,Europe
6.72429658,0.44391445,Africa
-55.9123457,4.13055413,South America
19.47905218,48.70547528,Europe
14.80444238,46.11554772,Europe
16.74558049,62.77966519,Europe
31.4819369,-26.55843045,Africa
-63.05713363,18.05081728,North America
38.50788204,35.02547389,Asia
-71.97387881,21.83047572,North America
18.64492513,15.33333758,Africa
0.96232845,8.52531356,Africa
101.0028813,15.11815794,Asia
71.01362631,38.5304539,Asia
59.37100021,39.11554137,Asia
125.8443898,-8.82889162,Asia
-174.8098734,-20.42843174,Oceania
-61.26567923,10.45733408,North America
9.55288359,34.11956246,Africa
35.16895346,39.0616029,Asia
120.9542728,23.7539928,Asia
34.81309981,-6.27565408,Africa
32.36907971,1.27469299,Africa
31.38326469,48.99656673,Europe
-56.01807053,-32.79951534,South America
-112.4616737,45.6795472,North America
63.14001528,41.75554225,Asia
12.43387177,41.90174985,Europe
-61.20129695,13.22472269,North America
-66.18184123,7.12422421,South America
-64.47146992,18.52585755,North America
-64.80301538,17.95500624,North America
106.299147,16.6460167,Asia
167.6864464,-16.22640909,Oceania
-177.3483483,-13.88737039,Oceania
-172.1648506,-13.75324346,Oceania
47.58676189,15.90928005,Asia
25.08390093,-29.00034095,Africa
27.77475946,-13.45824152,Africa
29.8514412,-19.00420419,Africa
